day;date;public_holiday
Mariä Himmelfahrt;2008-08-15;1
Tag der Deutschen Einheit;2008-10-03;1
Allerheiligen;2008-11-01;1
1. Weihnachtsfeiertag;2008-12-25;2
2. Weihnachtsfeiertag;2008-12-26;1
Neujahr;2009-01-01;2
Heilige Drei Könige;2009-01-06;2
Karfreitag;2009-04-10;1
Ostermontag;2009-04-13;1
Tag der Arbeit;2009-05-01;1
Christi Himmelfahrt;2009-05-21;2
Pfingstmontag;2009-06-01;1
Fronleichnam;2009-06-11;2
Mariä Himmelfahrt;2009-08-15;1
Tag der Deutschen Einheit;2009-10-03;1
Allerheiligen;2009-11-01;1
1. Weihnachtsfeiertag;2009-12-25;1
2. Weihnachtsfeiertag;2009-12-26;1
Neujahr;2010-01-01;1
Heilige Drei Könige;2010-01-06;1
Karfreitag;2010-04-02;1
Ostermontag;2010-04-05;1
Tag der Arbeit;2010-05-01;1
Christi Himmelfahrt;2010-05-13;2
Pfingstmontag;2010-05-24;1
Fronleichnam;2010-06-03;2
Mariä Himmelfahrt;2010-08-15;1
Tag der Deutschen Einheit;2010-10-03;1
Allerheiligen;2010-11-01;1
1. Weihnachtsfeiertag;2010-12-25;1
2. Weihnachtsfeiertag;2010-12-26;1
Neujahr;2011-01-01;1
Heilige Drei Könige;2011-01-06;2
Karfreitag;2011-04-22;1
Ostermontag;2011-04-25;1
Tag der Arbeit;2011-05-01;1
Christi Himmelfahrt;2011-06-02;2
Pfingstmontag;2011-06-13;1
Fronleichnam;2011-06-23;2
Mariä Himmelfahrt;2011-08-15;1
Tag der Deutschen Einheit;2011-10-03;1
Allerheiligen;2011-11-01;2
1. Weihnachtsfeiertag;2011-12-25;1
2. Weihnachtsfeiertag;2011-12-26;1
Neujahr;2012-01-01;1
Heilige Drei Könige;2012-01-06;1
Karfreitag;2012-04-06;1
Ostermontag;2012-04-09;1
Tag der Arbeit;2012-05-01;2
Christi Himmelfahrt;2012-05-17;2
Pfingstmontag;2012-05-28;1
Fronleichnam;2012-06-07;2
Mariä Himmelfahrt;2012-08-15;1
Tag der Deutschen Einheit;2012-10-03;1
Allerheiligen;2012-11-01;2
1. Weihnachtsfeiertag;2012-12-25;2
2. Weihnachtsfeiertag;2012-12-26;1
Neujahr;2013-01-01;2
Heilige Drei Könige;2013-01-06;1
Karfreitag;2013-03-29;1
Ostermontag;2013-04-01;1
Tag der Arbeit;2013-05-01;1
Christi Himmelfahrt;2013-05-09;2
Pfingstmontag;2013-05-20;1
Fronleichnam;2013-05-30;2
Mariä Himmelfahrt;2013-08-15;2
Tag der Deutschen Einheit;2013-10-03;2
Allerheiligen;2013-11-01;1
1. Weihnachtsfeiertag;2013-12-25;1
2. Weihnachtsfeiertag;2013-12-26;2
