date;school_holiday
04.08.08;1
05.08.08;1
06.08.08;1
07.08.08;1
08.08.08;1
09.08.08;1
10.08.08;1
11.08.08;1
12.08.08;1
13.08.08;1
14.08.08;1
15.08.08;1
16.08.08;1
17.08.08;1
18.08.08;1
19.08.08;1
20.08.08;1
21.08.08;1
22.08.08;1
23.08.08;1
24.08.08;1
25.08.08;1
26.08.08;1
27.08.08;1
28.08.08;1
29.08.08;1
30.08.08;1
31.08.08;1
01.09.08;1
02.09.08;1
03.09.08;1
04.09.08;1
05.09.08;1
06.09.08;1
07.09.08;1
08.09.08;1
09.09.08;1
10.09.08;1
11.09.08;1
12.09.08;1
13.09.08;1
14.09.08;1
15.09.08;1
03.11.08;1
04.11.08;1
05.11.08;1
06.11.08;1
07.11.08;1
22.12.08;1
23.12.08;1
24.12.08;1
25.12.08;1
26.12.08;1
27.12.08;1
28.12.08;1
29.12.08;1
30.12.08;1
31.12.08;1
01.01.09;1
02.01.09;1
03.01.09;1
04.01.09;1
05.01.09;1
23.02.09;1
24.02.09;1
25.02.09;1
26.02.09;1
27.02.09;1
28.02.09;1
06.04.09;1
07.04.09;1
08.04.09;1
09.04.09;1
10.04.09;1
11.04.09;1
12.04.09;1
13.04.09;1
14.04.09;1
15.04.09;1
16.04.09;1
17.04.09;1
18.04.09;1
02.06.09;1
03.06.09;1
04.06.09;1
05.06.09;1
06.06.09;1
07.06.09;1
08.06.09;1
09.06.09;1
10.06.09;1
11.06.09;1
12.06.09;1
13.06.09;1
03.08.09;1
04.08.09;1
05.08.09;1
06.08.09;1
07.08.09;1
08.08.09;1
09.08.09;1
10.08.09;1
11.08.09;1
12.08.09;1
13.08.09;1
14.08.09;1
15.08.09;1
16.08.09;1
17.08.09;1
18.08.09;1
19.08.09;1
20.08.09;1
21.08.09;1
22.08.09;1
23.08.09;1
24.08.09;1
25.08.09;1
26.08.09;1
27.08.09;1
28.08.09;1
29.08.09;1
30.08.09;1
31.08.09;1
01.09.09;1
02.09.09;1
03.09.09;1
04.09.09;1
05.09.09;1
06.09.09;1
07.09.09;1
08.09.09;1
09.09.09;1
10.09.09;1
11.09.09;1
12.09.09;1
13.09.09;1
14.09.09;1
02.11.09;1
03.11.09;1
04.11.09;1
05.11.09;1
06.11.09;1
07.11.09;1
24.12.09;1
25.12.09;1
26.12.09;1
27.12.09;1
28.12.09;1
29.12.09;1
30.12.09;1
31.12.09;1
01.01.10;1
02.01.10;1
03.01.10;1
04.01.10;1
05.01.10;1
15.02.10;1
16.02.10;1
17.02.10;1
18.02.10;1
19.02.10;1
20.02.10;1
29.03.10;1
30.03.10;1
31.03.10;1
01.04.10;1
02.04.10;1
03.04.10;1
04.04.10;1
05.04.10;1
06.04.10;1
07.04.10;1
08.04.10;1
09.04.10;1
10.04.10;1
25.05.10;1
26.05.10;1
27.05.10;1
28.05.10;1
29.05.10;1
30.05.10;1
31.05.10;1
01.06.10;1
02.06.10;1
03.06.10;1
04.06.10;1
05.06.10;1
02.08.10;1
03.08.10;1
04.08.10;1
05.08.10;1
06.08.10;1
07.08.10;1
08.08.10;1
09.08.10;1
10.08.10;1
11.08.10;1
12.08.10;1
13.08.10;1
14.08.10;1
15.08.10;1
16.08.10;1
17.08.10;1
18.08.10;1
19.08.10;1
20.08.10;1
21.08.10;1
22.08.10;1
23.08.10;1
24.08.10;1
25.08.10;1
26.08.10;1
27.08.10;1
28.08.10;1
29.08.10;1
30.08.10;1
31.08.10;1
01.09.10;1
02.09.10;1
03.09.10;1
04.09.10;1
05.09.10;1
06.09.10;1
07.09.10;1
08.09.10;1
09.09.10;1
10.09.10;1
11.09.10;1
12.09.10;1
13.09.10;1
02.11.10;1
03.11.10;1
04.11.10;1
05.11.10;1
24.12.10;1
25.12.10;1
26.12.10;1
27.12.10;1
28.12.10;1
29.12.10;1
30.12.10;1
31.12.10;1
01.01.11;1
02.01.11;1
03.01.11;1
04.01.11;1
05.01.11;1
06.01.11;1
07.01.11;1
07.03.11;1
08.03.11;1
09.03.11;1
10.03.11;1
11.03.11;1
18.04.11;1
19.04.11;1
20.04.11;1
21.04.11;1
22.04.11;1
23.04.11;1
24.04.11;1
25.04.11;1
26.04.11;1
27.04.11;1
28.04.11;1
29.04.11;1
30.04.11;1
14.06.11;1
15.06.11;1
16.06.11;1
17.06.11;1
18.06.11;1
19.06.11;1
20.06.11;1
21.06.11;1
22.06.11;1
23.06.11;1
24.06.11;1
25.06.11;1
