Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3379;München-Stadt;F;02.04.1985-00:00;02.04.1985-07:00;8;;eor;                                                                                                                                          
3379;München-Stadt;F;11.09.1985-14:00;11.09.1985-14:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;15.10.1985-15:00;16.10.1985-13:00;23;;eor;                                                                                                                                         
3379;München-Stadt;F;24.06.1990-08:00;24.06.1990-08:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;14.08.1990-08:00;14.08.1990-09:00;2;;eor;                                                                                                                                          
3379;München-Stadt;F;03.03.1992-04:00;03.03.1992-06:00;3;;eor;                                                                                                                                          
3379;München-Stadt;F;09.03.1992-19:00;09.03.1992-19:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;12.01.1994-08:00;12.01.1994-10:00;3;;eor;                                                                                                                                          
3379;München-Stadt;F;24.11.1994-07:00;24.11.1994-07:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;01.07.1997-08:00;01.07.1997-08:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;08.07.1997-17:00;08.07.1997-17:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;08.07.1997-23:00;08.07.1997-23:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;10.07.1997-01:00;10.07.1997-04:00;4;;eor;                                                                                                                                          
3379;München-Stadt;F;13.07.1997-05:00;13.07.1997-05:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;13.07.1997-11:00;13.07.1997-13:00;3;;eor;                                                                                                                                          
3379;München-Stadt;F;13.07.1997-15:00;13.07.1997-17:00;3;;eor;                                                                                                                                          
3379;München-Stadt;F;15.07.1997-09:00;15.07.1997-09:00;1;;eor;                                                                                                                                          
3379;München-Stadt;F;15.07.1997-13:00;15.07.1997-13:00;1;;eor;                                                                                                                                          
